id,canonical_name,normalized_name,company_type,website,region,country,description,first_source_id,evidence_count,first_seen_at,last_seen_at,represented_brand_count
1,IMG Licensing,img licensing,licensing_agency,https://imglicensing.com/,Global,,"Client List: British & Irish Lions, Bundesliga, ESPN, L’Équipe, Fédération Française de Rugby, Football Greats Alliance, Harlem Globetrotters, 24 Hours of Le Mans, Mayweather Fitness, Professional Bull Riders, Ultimate Fighting Championship, World Wrestling Entertainment, NFL International, Manchester City Football Club, The R&A, Claire's, Georges Marciano, Replay, Superdry, Gap Inc., Theme, Laura Ashley, florence by mills, Skechers, Ann Taylor, Talbots, Vera Bradley, Vivastudio Corp., Booba, Brigitte Bardot Estate, BRZRKR, Dolly Parton, Fortnite, Rocket League, Flavortown, Hearst Magazines, Lionsgate, Loyd Grossman, Millie Bobby Brown, Randy's Donuts, A Court of Thorns and Roses, San Diego Comic-Con, Severance, Toikido, Ubisoft, Wayne Gretzky, Zorro, Fall Guys, Gerry Cosby, Care Bears, Kakao Friends, Madballs, Metro-Goldwyn-Mayer, Mr. Bean, Ted, Hasbro, NBCUniversal, AAA, Alessi, Abarth, Alfa Romeo, Armor All, STP, Peugeot, Automobili Pininfarina, Bacardi, Big League Chew, Chevron, Ch",13,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,2151
313,GLG Brands,glg brands,licensing_agency,https://www.glg-brands.com/,Global,,"Large corporate, automotive, media and lifestyle portfolio",58,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,833
53,The Brand Liaison,the brand liaison,licensing_agency,https://thebrandliaison.com/,Global,,"Client List: Fashion, art, celebrity and pop culture brands including 7-Eleven, Overtime Sports, Safety 1st, KissCam, National Day Calendar, Hoonigan Racing, Detroit vs Everybody, Bearpaw, Jason Wu, Betsey Johnson, FUBU, Etonic, Lifeguard, BUM Equipment, Gloria Vanderbilt, Cardio Bunny, Bench, Savile Row, JACHS NY, Fantasy, RCA, Fisher Electronics, Dorel Juvenile Group, Built, S'Well, Daymond John, Elaine Swann, David Tutera, Criss Angel, Christopher Knight, Robert Irvine, Jon Taffer and more.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,633
32,Licenseworks,licenseworks,licensing_agency,https://licenseworks.co/,Global,,"Client List: Stanley Black & Decker, Elle, Elle Decor, The Met, Kodak, GQ, Blvck Paris and Royal Enfield.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,540
60,Wildbrain CPLG,wildbrain cplg,licensing_agency,https://www.wildbrain.com/cplg,Global,,"Client List: Peanuts Worldwide, Amazon MGM Studios, Paramount, PLAYMOBIL, Supercell, Hasbro, Sony Pictures, Spin Master, Miraculous, SEGA, Dr. Seuss Enterprises, Sanrio, Penguin Ventures, Mercis BV, Van Gogh Museum, Perfetti Van Melle, Master Lock, Kikkoman, Casa de Batllo, Peugeot, Harvard, Colombia, Yale, FC Barcelona and Paris Saint Germain FC, amongst others.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,452
25,Global Trademark Licensing,global trademark licensing,licensing_agency,https://globaltrademarklicensing.com/,Global,,"Client List: Mercedes, JLR, McLaren Racing, Lotus, Pagani, Scania, JCB, James Hunt, LEVC, Formula E, Lambretta and Shelby.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,448
3,Beanstalk,beanstalk,licensing_agency,https://www.beanstalk.com/,Global,,"Client List: Audi, Atari, Bentley, BT21, Cath Kidston, Chef Eric Adjepong, Choco Milk, Cinnabon, Diageo: Baileys, Captain Morgan, Crown Royal, Gordon’s, Guinness, Pimm’s, Smirnoff; Dinotopia, Dole, Fable, Hi-Chew, Iron Maiden, Julius-K9, Just Dance, Kellanova: Cheez-It, Eggo, MorningStar Farms, Pop-Tarts, Pringles, Rice Krispies Treats; Line Friends, Magna-Tiles, Matthew Williamson Design, Microsoft Gaming Studios: XBOX, Halo, Fable, The Outer Worlds, Sea of Thieves; Rare, Monster Jam, Ozzy Osbourne, P&G: Ariel, Bounce, Braun, Crest, Dawn, Dreft, Downy, Fairy, Febreze, Flash, Gain, Lenor, Mr. Clean, Oral B, Pampers, Tide, Vicks; Pennzoil; Quaker State, Rabbids, Rayman, Ritz Paris, Roller Coaster Tycoon. Stanley Black & Decker: BLACK+DECKER, Craftsman, Cub Cadet, DEWALT, Facom, Mac Tools, Porter Cable, Stanley, Troy-Built; TED; TGI Fridays; The Metropolitan Museum of Art; The Ohio State University, Tonino Lamborghini, U.S. Army, Volvo, VW E-Games, Weight Watchers, WK Kellogg Co: All-Bra",15,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,435
614,Licensing Haus,licensing haus,licensing_agency,https://licensinghaus.com/,Latin America,,Licensing representation,77,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,418
312,LMCA,lmca,licensing_agency,https://www.lmca.net/,Global,,Corporate and heritage brands,16,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,403
33,Licensing Street,licensing street,licensing_agency,https://licensingstreet.com/,Global,,"Client List: SEGA, Laika Films, Fred Rogers Company, Angel Studios, Thunderbird Entertainment and Millimages.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,385
