id,canonical_name,normalized_name,website,region,country,description,source_count,represented_brand_count,first_party_brand_count,agent_list_brand_count,evidence_count,quality_status,generated_at
33,GLG Brands,glg brands,https://www.glg-brands.com/,Global,,"Large corporate, automotive, media and lifestyle portfolio",1,261,261,0,0,documented_agency,2026-08-30T13:28:01+00:00
41,IMG Licensing,img licensing,https://imglicensing.com/,Global,,"Client List: British & Irish Lions, Bundesliga, ESPN, L’Équipe, Fédération Française de Rugby, Football Greats Alliance, Harlem Globetrotters, 24 Hours of Le Mans, Mayweather Fitness, Professional Bull Riders, Ultimate Fighting Championship, World Wrestling Entertainment, NFL International, Manchester City Football Club, The R&A, Claire's, Georges Marciano, Replay, Superdry, Gap Inc., Theme, Laura Ashley, florence by mills, Skechers, Ann Taylor, Talbots, Vera Bradley, Vivastudio Corp., Booba, Brigitte Bardot Estate, BRZRKR, Dolly Parton, Fortnite, Rocket League, Flavortown, Hearst Magazines, Lionsgate, Loyd Grossman, Millie Bobby Brown, Randy's Donuts, A Court of Thorns and Roses, San Diego Comic-Con, Severance, Toikido, Ubisoft, Wayne Gretzky, Zorro, Fall Guys, Gerry Cosby, Care Bears, Kakao Friends, Madballs, Metro-Goldwyn-Mayer, Mr. Bean, Ted, Hasbro, NBCUniversal, AAA, Alessi, Abarth, Alfa Romeo, Armor All, STP, Peugeot, Automobili Pininfarina, Bacardi, Big League Chew, Chevron, Ch",1,261,178,47,1,documented_agency,2026-08-30T13:28:01+00:00
37,Guangzhou Art-Land Holding Company,guangzhou art land holding company,,Global,,"Client List: More than 300 licensees including: Aimer Kids, Annil, Anker, Balabala, Babycare, Bata, Belle, Beazero, Bilibili, Biore, Baidu, Bananain, Blink, C&S, Chow Tai Fook, China Merchants Bank, Citizen, Centrum, Culturelle, Cotti, d'zzit, DAZZLE, Dettol, Dencare, Deli stationery, Deep Breath, Edition, EF Education, Fila, Fipo, Frog Prince, Garden, Forever 21, Glico, Gukoo, Haidilao, Hewlett Packard (HP), HLA, Hsufuchi, I.T, Igc, IMIS, IP Snack, Jandoon, JD.com, JUST.FOTO, Kabrita, Kappa, Kawasaki, Kayou, KFC, KEEP, KKV, Knighthood, L'OCCITANE, Lawson, Lecoq sportif, Larbee, Linlee, Luckin, Maxim's cakes, McCormick, Midea, Mideer, Milkground, MINISO, Mylafe, Meitu, Meituan, Mokingran, Naixue, Nest Designs, Nestle, Nutrilon, Only, Orion, Palladium, Peacebird, POP MART, Paw in Paw, Rio, SANFU, Sanli, Sembo Block, Semir, Shiseido, Skechers, Soap Studio, SOGO Department, Starbucks, STAYREAL, Sunrana, Supafresh, Super Player, Synear, TATA, Tim Hortons, TOI, Trendy Sound, 361°, 85℃, Ulik",1,113,0,113,1,documented_agency,2026-08-30T13:28:01+00:00
4,Beanstalk,beanstalk,https://www.beanstalk.com/,Global,,"Client List: Audi, Atari, Bentley, BT21, Cath Kidston, Chef Eric Adjepong, Choco Milk, Cinnabon, Diageo: Baileys, Captain Morgan, Crown Royal, Gordon’s, Guinness, Pimm’s, Smirnoff; Dinotopia, Dole, Fable, Hi-Chew, Iron Maiden, Julius-K9, Just Dance, Kellanova: Cheez-It, Eggo, MorningStar Farms, Pop-Tarts, Pringles, Rice Krispies Treats; Line Friends, Magna-Tiles, Matthew Williamson Design, Microsoft Gaming Studios: XBOX, Halo, Fable, The Outer Worlds, Sea of Thieves; Rare, Monster Jam, Ozzy Osbourne, P&G: Ariel, Bounce, Braun, Crest, Dawn, Dreft, Downy, Fairy, Febreze, Flash, Gain, Lenor, Mr. Clean, Oral B, Pampers, Tide, Vicks; Pennzoil; Quaker State, Rabbids, Rayman, Ritz Paris, Roller Coaster Tycoon. Stanley Black & Decker: BLACK+DECKER, Craftsman, Cub Cadet, DEWALT, Facom, Mac Tools, Porter Cable, Stanley, Troy-Built; TED; TGI Fridays; The Metropolitan Museum of Art; The Ohio State University, Tonino Lamborghini, U.S. Army, Volvo, VW E-Games, Weight Watchers, WK Kellogg Co: All-Bra",1,104,15,89,1,documented_agency,2026-08-30T13:28:01+00:00
64,MHS Licensing,mhs licensing,https://mhslicensing.com/,Global,,"Client List: Thomas Kinkade, Abraham Hunter, Hautman Brothers, Accent Art Studio, Al Agnew, Amira Rahim, Amylee Weeks, Audrey Jeanne Roberts, Bethany Joy, Blue Chair Blessing, Brett Blumenthal, Buck Wear, By The Lakeside, Carol Cavalaris, Carrie Goller, Collin Bogle, Corbert Gauthier, Courtney Morgenstern, Cranston Collection, Darrell Bush, Deane Beesley, Diane Labombarbe, Emiko Rainbow, Femvisionary, Fine Frenchie, Fluidity, H. Hargrove, Hayden Lambson, Image World, James Meger, Jennifer Seeley, Jetty Home, Jim Baldwin, Jim Killen, JJ Design House, John Keeling, Judy Buswell, Kelley Parker, Ken Zylla, Kim Norlien, Kris Jagers, Larry Hersberger, Larry McFerrin, Lindsay Kivi, Louise Carey, Lovitude, Luis Fitch, Mehu Art, Nina Blue, Northern Promotions, PDR Studios, Russ Duerksen, Sally Barlow, Scot Storm, Stephanie Ryan, Tara Moss, Terrence Fogarty, Terry Doughty, Tina Higgins, UTurn Studios, Val Warner, Valerie Wieners, Victoria Schultz and Yvonne Coleman Burney.",2,63,0,63,1,documented_agency,2026-08-30T13:28:01+00:00
6,Born Licensing,born licensing,https://bornlicensing.com/,Global,,Advertising and promotional licensing,1,62,62,0,0,documented_agency,2026-08-30T13:28:01+00:00
61,Medialink,medialink,https://www.medialink.com.hk/,Global,,"Client List: emoji, Le Petit Prince, Sesame Street, Sesame Street Mecha Builders, Garfield, Star Trek, LINE FRIENDS, BT21, POPEYE, CUPHEAD, “THE CUPHEAD SHOW,” Pinkfong World & Pinkfong Baby Shark, The Little Prince and Friends, Usagyuuun, Betty Boop, Lychee and Friends, Bluey, Mr Men and Little Miss, Robocar Poli, Shewsheep, Sunlemon, Kawanimal, Ohigenopon, Nailoong, Quby, Mobile Suit Gundam UC, Mobile Suit Gundam Seed, Mobile Suit Gundam, Bebefinn, “Genshin Impact,” Honkai Star Rail, Tears of Themis, Zenless Zone Zero, “Jujutsu Kaisen,” Blue Lock, Oshi No Ko, Chainsaw Man, City Hunter The Movie: Angel Dust, Dr. Stone, Fullmetal Alchemist, Gintama, Haikyu!!, Initial D, Kuroko's Basketball, Laid-Back Camp, My Hero Academia, Yu-Gi-Oh!, Solo Leveling, hololive, JOGUMAN, Cardcaptor Sakura Clear Card, Kaiju No. 8, GACHIAKUTA, Godzilla, Yu Yu Hakusho, “Evangelion,” MASHLE MAGIC AND MUSCLES, OVERLORD, UMAMUSUME Pretty Derby, Yuru Camp, Takopi's original sin, Kowloon Generic Romance, DREAM AN",2,62,0,62,1,documented_agency,2026-08-30T13:28:01+00:00
75,Rights and Brands,rights and brands,https://rightsandbrands.com/,Global,,"Client List: Moomin Characters, The Astrid Lindgren Company, Peyo, Company, King Features, Sam Wilde, Stig Lindberg Design, Star Stable and The Carl & Karin Larsson Estate.",2,52,46,6,1,documented_agency,2026-08-30T13:28:01+00:00
30,Evolution USA,evolution usa,https://www.evolutionusa.com/,Global,,"Client List: Revelyst Brands: Simms Fishing, Primo Hunting, Camp Chef, Fox Racing, Hoppe's 9, Blackburn, Bushnell, Bushnell Golf, Camelbak, Senna Brands: Ayrton Senna, Senna Driven, “Senna” (Netflix Series); Loteria, Dali Universe, Ella Fitzgerald Estate, Smoko, Neopets, Pressman Films: “The Crow,” “American Psycho;” Gaumont Television: “Narcos,” “Narcos Mexico,” “Hannibal,” “Silent Hill,” “Return to Silent Hill;” Morgan Creek Entertainment (U.S. rights) and Revolution Studios (International rights): “Ace Ventura,” “Black Hawk Down,” “Coupe de Ville,” “Dead Ringers,” “Exorcist III,” “Exorcist: The Beginning,” “Exorcist: Domination,” “Get Carter,” “Heist,” “Juwanna Mann,” “Major League,” “Nightbreed,” “Punch Drunk Love,” “The Crush,” “The Whole Nine Yards,” “The Fog” (2005), “True Romance,” “Young Guns,” “3000 Miles to Graceland,” Licensee Clients: Arcane Wonders, Blip Toys, Cosmox, Fashion Angels, MVN Entertainment, Phenom Elite, PMI, Sky Castle Toys, UCC and Woobles.",2,51,0,51,1,documented_agency,2026-08-30T13:28:01+00:00
20,CAA Brand Management,caa brand management,https://www.caa.com/,Global,,"Client List: Anheuser-Busch, Artestar, Baby Milo, Bath and Body Works, Beatrix Potter, Bob Marley, Bobcat, Bugatti, California Pizza Kitchen, Condé Nast, The Cheesecake Factory, Coca-Cola, Dr. Seuss, Draper James, Ford, Formula One, Frida Kahlo, Genshin Impact, Headspace, Iconix, Jonathan Adler, McLaren, Minecraft, Miffy, Mondelez, Ms. Rachel, Netflix, One Championship, Outdoor Voices, PacSun, Paddington Bear, Paramount Pictures, Playboy, Porsche, Red Bull Racing, Riot Games, Royal Berkshire Polo Club, Sesame Workshop, Smurfs, Sony Pictures, Spalding, Stumble Guys, Subway, CAA Talent and UCLA.",1,47,3,44,1,documented_agency,2026-08-30T13:28:01+00:00
