id,canonical_name,website,domain,region,description,confidence,verification_status,client_count,captured_page_count
696,Art Licensing International,https://www.artlicensing.com:443/,artlicensing.com,Global,"Art Licensing International, Inc. Skip to content Menu Close Artist Representation Browse Art Browse Christmas Trends New Artists Search My Wish List Contact Login Tina Lavoie Fusion Idol Arts Charlsie Kelly Olga Dorenko Kathie Thompson Richard Wallich Emily Louise Heard LightboxJournal Assaf Frank Elo Marc Browse Our Latest Additions View All New Lucy Grossmith Jennie Marie Schell Minnie & Winston Sasha Mark Frost Christmas Cheer Every Day of the Year The one-stop-shop for all your holiday imag",0.82,website_fetched_machine_classified,500,8
1400,IMG Licensing,https://imglicensing.com/,imglicensing.com,Global,"IMG is a global leader in the licensing of products and brands, providing experts in the sales process, brand management, creative & commercial & systems.",0.85,website_fetched_machine_classified,500,8
5080,Brand Extensions Licensing Agency,https://www.merriam-webster.com/dictionary/brand,merriam-webster.com,North America,The meaning of BRAND is a charred piece of wood. How to use brand in a sentence.,0.7,website_fetched_machine_classified,388,8
5359,The Brand Liaison,https://thebrandliaison.com/,thebrandliaison.com,North America,"The Brand Liaison is a top-tier licensing and brand management agency focused on creating new revenue streams for our clients through licensing, strategic partnerships and other brand extension opportunities. Representing both licensors and licensees, our team of seasoned “liaisons” has extensive experience in developing successful brand extension and licensing programs, in each case maintaining the integrity of each brand we work with. We also use our extensive network and relationships to build strong partnerships among brand owners, manufacturers and key retailers. By creating mutually beneficial relationships among all of the participants in the brand extension process, we are able to create innovative licensing and retail programs that bring long term value to our clients.",0.88,website_fetched_machine_classified,350,8
3873,Rights & Brands,https://rightsandbrands.com/,rightsandbrands.com,United Kingdom and Ireland,"Rights & Brands is a Scandinavian agency promoting art, literature and design brands for licensing and literary rights.",0.83,website_fetched_machine_classified,339,8
3326,Mediatoon Licensing,https://mediatoon-licensing.com/,mediatoon-licensing.com,United Kingdom and Ireland,"Mediatoon Licensing est une filiale du Groupe Média-Participations en charge des cessions de droits du groupe pour ses catalogues de bandes dessinées, de romans, de livres jeunesse et de dessins animés dans le monde entier.",0.82,website_fetched_machine_classified,317,8
3676,Porterfields Fine Art Licensing,https://www.porterfieldsfineart.com/,porterfieldsfineart.com,United Kingdom and Ireland,Art Licensing | Porterfield's Fine Art Licensing is your online super-site for all your art licensing needs.,0.82,website_fetched_machine_classified,293,8
759,Advocate Art,https://www.advocate-art.com/,advocate-art.com,United Kingdom and Ireland,"Top Illustration agency in London, UK. Advocate Art is a trusted publishing agent to partner with leading illustration artists in the UK.",0.82,website_fetched_machine_classified,271,8
742,Art Brand Studios,https://www.artbrand.com/pages/trade,artbrand.com,North America,"Art Brand Studios is a TOP 100 Global Licensor, connecting artist estates and iconic brands with manufacturers, retailers and distribution worldwide.",0.82,website_fetched_machine_classified,262,0
1169,Global Icons,https://globalicons.com/,globalicons.com,Italy and Europe,"Founded by Jeff Lotman, Global Icons is the world’s largest independent full-service corporate brand licensing agency.",0.88,website_fetched_machine_classified,229,8
1951,Lemonade Illustration Agency,https://www.lemonadeillustration.com/,lemonadeillustration.com,Australia and New Zealand,"Welcome to Lemonade illustration agency! We have been a leader within the Global Creative industry for over twenty five years. Our innovative team are immensely proud to have become one of the most prominent illustration agencies in the Creative Media industry, serving award-winning Ad Agencies, Design Groups, Publishers, Corporations, Gaming and Top Brands across the world for over two decades. Lemonade's vastly experienced team are well positioned to advise you and find you the right solution for your Creative Project whatever the deadline. This website will show you that we represent an inspiring roster of world class illustrators offering a huge range of unique styles, character designs and innovative concepts suitable for any Creative requirements you may have. From our 5 Offices our Agency staff pride themselves on working with clients across the Globe located in all time zones. In these adverse times we are facing we continue to be on hand to assist our customers by working 7 days a week, 52 weeks a year, as we always have! All our talented illustrators have a signature style which is unique to them and they are able to develop any content you require for your next illustrated campaign, animation, corporate comms, product development or publishing project. The Agency team are always just one click or call away ready to advise, research and help you with all your artbuying solutions. The website is regularly updated with new images and new talented artists so please take a good look around the portfolios and different divisions of the Agency to see what's new and what is on trend. We understand the pressures on today's Artbuyer or Designer so if you are up against time and cannot find exactly what you are looking for please do not hesitate to contact us and we will provide urgent assistance for you and your colleagues 24/7. If you would like a quote for your next exciting illustration project, please share as many details as you can with us and this will enabl",0.82,website_fetched_machine_classified,203,5
919,CAA Brand Management / Beanstalk,https://www.beanstalk.com/,beanstalk.com,North America,"We are the expert brand licensing company behind some of the world’s most recognized global brand extensions. We help leading brands, manufacturers and retailers create breakthrough products and experiences through the licensing model.",0.88,website_fetched_machine_classified,172,8
4610,The Joester Loria Group,https://www.joesterloriagroup.com/,joesterloriagroup.com,Global,"Joester Loria Group (Copy) 0 Skip to Content Home Our Clients Our Services Case Studies About Us News Contact Us Open Menu Close Menu Home Our Clients Our Services Case Studies About Us News Contact Us Open Menu Close Menu Home Our Clients Our Services Case Studies About Us News Contact Us Joester Loria Group is a leading global brand licensing agency. At Joester Loria Group, we help brands connect with consumers in fresh, exciting ways, building strategic licensing programs that spark engagemen",0.88,website_fetched_machine_classified,164,8
5069,Dimensional Branding Group,https://dimensional.engineering/,dimensional.engineering,North America,"Contact us when you have a complex design or production engineering problem, and you need proven professionals to help you solve it.",0.74,website_fetched_machine_classified,137,5
792,Brand Central,https://brandcentral.com/,brandcentral.com,North America,BRAND CENTRAL 0 Skip to Content Home About Us Services Brand Extension Manufacturer Rep Creative Services Clients Brands Manufacturer Rep Case Studies Press Contact Open Menu Close Menu Home About Us Services Brand Extension Manufacturer Rep Creative Services Clients Brands Manufacturer Rep Case Studies Press Contact Open Menu Close Menu Home About Us Folder: Services Back Brand Extension Manufacturer Rep Creative Services Folder: Clients Back Brands Manufacturer Rep Case Studies Press Contact H,0.88,website_fetched_machine_classified,130,0
781,Born Licensing,https://bornlicensing.com/,bornlicensing.com,United Kingdom and Ireland,"We license characters & clips for your creative advertising campaigns. Working with rights holders & advertising agencies, we help bring your vision to life.",0.82,website_fetched_machine_classified,129,8
1093,Firefly Brand Management,https://fireflybrandmanagement.com/,fireflybrandmanagement.com,North America,Take your brand to the next level with Firefly Brand Management. We create unique programs for your specific needs.,0.88,website_fetched_machine_classified,109,3
698,Asembl,https://www.asembl-brands.com/,asembl-brands.com,Australia and New Zealand,Asembl is a brand extension agency specializing in lifestyle & FMCG. We work with global brands to create new products and brand experiences.,0.85,website_fetched_machine_classified,92,8
3892,Roaring Brook Art,https://roaringbrookart.com/,roaringbrookart.com,North America,"We specialize in publishing open-edition decorative art prints for the home furnishings and gift markets. We're a wholesale business with distribution of our art to numerous retail store chains, catalog/mail order companies, and independent shops",0.86,website_fetched_machine_classified,81,4
3154,Licensing Works!,https://www.licensingworks.us/,licensingworks.us,North America,Licensing Works!® – We Value Timeless Iconic Brands Skip to content Menu Home Clients Blocks Universe™ Kewpie® Love You Forever® Monchsters™ Monster In My Pocket® Moulin Rouge® Numberblocks™ Puppy In My Pocket® Tarzan® The Valentines™ The Wingfeather Saga™ Winchester Mystery House® Zorro® The Team Meet The Team Leslie Levine Scott Cherrin Jill Collins Menu Home Clients Blocks Universe™ Kewpie® Love You Forever® Monchsters™ Monster In My Pocket® Moulin Rouge® Numberblocks™ Puppy In My Pocket® Tar,0.82,website_fetched_machine_classified,80,8
791,Brand Squared Licensing,https://www.brandsquaredlicensing.com/,brandsquaredlicensing.com,North America,"Brand Squared Licensing is your partner for strategic licensing solutions. We specialize in brand licensing, brand extensions, and marketing strategies. Learn more.",0.88,website_fetched_machine_classified,74,8
1160,Dream Theatre,https://www.dreamtheatre.co/,dreamtheatre.co,Latin America,"Dream Theatre is a Mumbai-based brand licensing and merchandising agency helping global IP owners, brands and content creators enter and grow in India through licensing, SPVs and consulting. Unlock the power of brand licensing and merchandising with Dream Theatre, India's top agency. Elevate your brand and boost revenue—get in touch now!",0.88,website_fetched_machine_classified,72,8
4018,Maurizio Distefano Licensing,https://www.mdistefanolicensing.com/,mdistefanolicensing.com,Italy and Europe,"Azienda leader italiana nel mondo del licensing, Maurizio Distefano The Evolution of Licensing è l'intermediario tra licenziante e licenziatari.",0.82,website_fetched_machine_classified,71,5
5008,GreenLight Rights,https://help.greenlight.com/hc/en-us,help.greenlight.com,Asia-Pacific,"A Greenlight card for your child lets you choose where they spend. Plus, send money instantly, automate allowances, and get alerts.",0.7,website_fetched_machine_classified,69,2
833,Brandgenuity,https://brandgenuity.com/,brandgenuity.com,Global,"Brandgenuity is known for our licensing expertise, thoughtful, tailored strategies, and rigorous execution. We hold the big picture and the small details in one hand. And candid is our middle name.",0.88,website_fetched_machine_classified,68,8
897,Earthbound,https://earthboundbrands.com/,earthboundbrands.com,Global,"Earthbound is a product, design and licensing agency that works with iconic brands. We bring new partnerships and products to life for continuous retail growth.",0.85,website_fetched_machine_classified,66,8
1638,Jewel Branding & Licensing,https://www.jewelbranding.com/,jewelbranding.com,Global,"Jewel is an award-winning agency specializing in licensing, branding, and creative. We translate trends into consumer products that sell.",0.88,website_fetched_machine_classified,63,4
1615,Jehane Ltd,https://www.jehane.com/,jehane.com,Global,License and commission artwork from our talented artists to make your commercial projects stand-out.,0.82,website_fetched_machine_classified,62,2
