id,agency_name,agency_website,client_name,client_website,evidence_url,evidence_text,extraction_method,confidence,verification_status,territory
1,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,1. 100% satisfaction guaranteed,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
2,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,2. Straightforward domain shopping experience,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
3,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,3. Personalized customer service,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
22,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,30-day money-back guarantee,https://www.HugeDomains.com/satisfaction_guaranteed.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
4,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,4. Largest selection of quality domains,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
5,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,5. Quick access to your domain,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
6,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,6. Financing options,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,bold about-page-content checkout-content,portfolio_h3_text,0.72,machine_extracted_unverified,
19,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Architect in a studio holding a cup of coffee,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,about-page-content checkout-content,portfolio_image_alt,0.7,machine_extracted_unverified,
23,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Buying guide,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,footer-menu col,portfolio_li_text,0.64,machine_extracted_unverified,
24,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Company profile,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,side-about-menu checkout-aside ml-15,portfolio_li_text,0.64,machine_extracted_unverified,
