id,name,source_type,agency_name,region,country,focus,priority,official,access_mode,parser,base_url,crawl_url,notes,status,http_status,final_url,robots_status,pages_fetched,raw_candidates,promoted_entities,started_at,finished_at,elapsed_ms,error
1,Licensing Expo 2026 Brand Directory,conference_brand_directory,,Global,,Cross-category brand directory,1,1,public_js,eventware,https://www.licensingexpo.com/,https://www.licensingexpo.com/en/exhibitor-list/brand-directory.html,Official directory landing page; retain any 2026 Eventware/API snapshots captured during the event.,complete,200,https://www.licensingexpo.com/content/markets/na/licensingexpo/en/exhibitor-list/brand-directory.html,allowed,2,293,293,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,63898,
2,Licensing Expo 2026 Exhibitor Directory,conference_exhibitor_directory,,Global,,Exhibitors and agencies,1,1,public_js,eventware,https://www.licensingexpo.com/,https://www.licensingexpo.com/en/exhibitor-list.html,Official 2026 exhibitor list.,complete,200,https://www.licensingexpo.com/en/exhibitor-list/brand-directory.html,allowed,2,343,343,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,62158,
3,Brand Licensing Europe 2026 Brand Directory,conference_brand_directory,,Europe,,European and global brands,1,1,public_js,eventware,https://www.brandlicensing.eu/,https://www.brandlicensing.eu/exhibitors/brand-directory/,,complete,200,https://www.brandlicensing.eu/about/brand-licensing-explained/,allowed,2,167,167,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,53294,
4,Brand Licensing Europe 2026 Exhibitor Directory,conference_exhibitor_directory,,Europe,,Exhibitors and agencies,1,1,public_js,eventware,https://www.brandlicensing.eu/,https://www.brandlicensing.eu/exhibitors/full-list/,,complete,200,https://www.brandlicensing.eu/about/brand-licensing-explained/,allowed,2,66,66,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,49087,
5,Licensing International Global Directory,industry_directory,,Global,,7000+ companies and 15000+ professionals,1,1,login_export,manual,https://licensinginternational.org/,https://licensinginternational.org/directory-landing/,Import an authorized export; do not bypass membership controls.,skipped_gated,,,,0,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,0,Authorized export/login required; not bypassed.
6,License Global Top Agents 2026,industry_report,,Global,,Top 60 agents and client lists,1,0,public,licenseglobal_agents,https://www.licenseglobal.com/,https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list,Discovery source only. License Global says the client lists are agent-supplied and may be exhaustive or non-exhaustive; each relationship requires first-party verification.,complete,200,https://www.licenseglobal.com/entertainment/10-minutes-with-john-pork-a-new-ip-debuting-at-brand-licensing-europe,allowed,2,1293,1293,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,44888,
13,IMG Licensing,agency_portfolio,IMG Licensing,Global,,"Corporate, lifestyle, culture, automotive and entertainment",1,1,public_js,browser_portfolio,https://imglicensing.com/,https://imglicensing.com/brands/,,complete,200,https://imglicensing.com/brands/24h-le-mans/,allowed,2,4751,4751,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,52192,
14,CAA Brand Management,agency_portfolio,CAA Brand Management,Global,,"Major corporate, culture, lifestyle and entertainment brands",1,1,public_js,browser_portfolio,https://www.caa.com/,https://www.caa.com/entertainmenttalent/brand-management,,complete,404,https://www.caa.com/caabrandmanagement,allowed,2,186,186,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,42006,
15,Beanstalk,agency_portfolio,Beanstalk,Global,,Corporate brands and experiential extensions,1,1,public_js,browser_portfolio,https://www.beanstalk.com/,https://www.beanstalk.com/,,complete,200,https://www.beanstalk.com/en/brand-owners,allowed,2,641,641,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,43440,
16,LMCA,agency_portfolio,LMCA,Global,,Corporate and heritage brands,1,1,public_js,browser_portfolio,https://www.lmca.net/,https://www.lmca.net/,,complete,200,https://www.lmca.net/,allowed,1,449,449,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15811,
